filename = ./accuracy_test/Accuracy_Test_8.txt, fileindex = 8
pro : 0, count = 209/1644(0.127128953771)
pro : 1, count = 226/1644(0.137469586375)
pro : 2, count = 200/1644(0.121654501217)
pro : 3, count = 174/1644(0.105839416058)
pro : 4, count = 163/1644(0.0991484184915)
pro : 5, count = 167/1644(0.101581508516)
pro : 6, count = 110/1644(0.0669099756691)
pro : 7, count = 65/1644(0.0395377128954)
pro : 8, count = 81/1644(0.0492700729927)
pro : 9, count = 61/1644(0.037104622871)
pro : 10, count = 47/1644(0.0285888077859)
pro : 11, count = 37/1644(0.0225060827251)
pro : 12, count = 42/1644(0.0255474452555)
pro : 13, count = 29/1644(0.0176399026764)
pro : 14, count = 21/1644(0.0127737226277)
pro : 15, count = 9/1644(0.00547445255474)
pro : 16, count = 3/1644(0.00182481751825)
filename = ./accuracy_test/Accuracy_Test_4.txt, fileindex = 4
pro : 0, count = 209/1644(0.127128953771)
pro : 1, count = 227/1644(0.138077858881)
pro : 2, count = 149/1644(0.0906326034063)
pro : 3, count = 145/1644(0.088199513382)
pro : 4, count = 109/1644(0.066301703163)
pro : 5, count = 109/1644(0.066301703163)
pro : 6, count = 116/1644(0.0705596107056)
pro : 7, count = 132/1644(0.0802919708029)
pro : 8, count = 124/1644(0.0754257907543)
pro : 9, count = 64/1644(0.0389294403893)
pro : 10, count = 66/1644(0.0401459854015)
pro : 11, count = 66/1644(0.0401459854015)
pro : 12, count = 49/1644(0.0298053527981)
pro : 13, count = 45/1644(0.0273722627737)
pro : 14, count = 17/1644(0.0103406326034)
pro : 15, count = 12/1644(0.00729927007299)
pro : 16, count = 5/1644(0.00304136253041)
filename = ./accuracy_test/Accuracy_Test_0.txt, fileindex = 0
pro : 0, count = 209/1644(0.127128953771)
pro : 1, count = 215/1644(0.130778588808)
pro : 2, count = 161/1644(0.0979318734793)
pro : 3, count = 103/1644(0.0626520681265)
pro : 4, count = 69/1644(0.0419708029197)
pro : 5, count = 119/1644(0.0723844282238)
pro : 6, count = 135/1644(0.0821167883212)
pro : 7, count = 137/1644(0.0833333333333)
pro : 8, count = 128/1644(0.0778588807786)
pro : 9, count = 79/1644(0.0480535279805)
pro : 10, count = 84/1644(0.0510948905109)
pro : 11, count = 72/1644(0.043795620438)
pro : 12, count = 55/1644(0.0334549878345)
pro : 13, count = 43/1644(0.0261557177616)
pro : 14, count = 17/1644(0.0103406326034)
pro : 15, count = 12/1644(0.00729927007299)
pro : 16, count = 4/1644(0.00243309002433)
filename = ./accuracy_test/Accuracy_Test_5.txt, fileindex = 5
pro : 0, count = 209/1644(0.127128953771)
pro : 1, count = 221/1644(0.134428223844)
pro : 2, count = 168/1644(0.102189781022)
pro : 3, count = 159/1644(0.0967153284672)
pro : 4, count = 126/1644(0.0766423357664)
pro : 5, count = 107/1644(0.0650851581509)
pro : 6, count = 102/1644(0.0620437956204)
pro : 7, count = 128/1644(0.0778588807786)
pro : 8, count = 108/1644(0.0656934306569)
pro : 9, count = 70/1644(0.0425790754258)
pro : 10, count = 63/1644(0.0383211678832)
pro : 11, count = 60/1644(0.036496350365)
