filename = ./accuracy_test/Accuracy_Test_8.txt, fileindex = 8
pro : 0, count = 74/1144(0.0646853146853)
pro : 1, count = 178/1144(0.155594405594)
pro : 2, count = 198/1144(0.173076923077)
pro : 3, count = 134/1144(0.117132867133)
pro : 4, count = 121/1144(0.105769230769)
pro : 5, count = 88/1144(0.0769230769231)
pro : 6, count = 60/1144(0.0524475524476)
pro : 7, count = 46/1144(0.0402097902098)
pro : 8, count = 47/1144(0.0410839160839)
pro : 9, count = 32/1144(0.027972027972)
pro : 10, count = 31/1144(0.0270979020979)
pro : 11, count = 29/1144(0.0253496503497)
pro : 12, count = 39/1144(0.0340909090909)
pro : 13, count = 27/1144(0.0236013986014)
pro : 14, count = 28/1144(0.0244755244755)
pro : 15, count = 9/1144(0.00786713286713)
pro : 16, count = 2/1144(0.00174825174825)
filename = ./accuracy_test/Accuracy_Test_4.txt, fileindex = 4
pro : 0, count = 74/1144(0.0646853146853)
pro : 1, count = 174/1144(0.152097902098)
pro : 2, count = 136/1144(0.118881118881)
pro : 3, count = 113/1144(0.0987762237762)
pro : 4, count = 78/1144(0.0681818181818)
pro : 5, count = 89/1144(0.0777972027972)
pro : 6, count = 75/1144(0.0655594405594)
pro : 7, count = 85/1144(0.0743006993007)
pro : 8, count = 42/1144(0.0367132867133)
pro : 9, count = 38/1144(0.0332167832168)
pro : 10, count = 34/1144(0.0297202797203)
pro : 11, count = 43/1144(0.0375874125874)
pro : 12, count = 57/1144(0.0498251748252)
pro : 13, count = 46/1144(0.0402097902098)
pro : 14, count = 40/1144(0.034965034965)
pro : 15, count = 17/1144(0.0148601398601)
pro : 16, count = 2/1144(0.00174825174825)
filename = ./accuracy_test/Accuracy_Test_0.txt, fileindex = 0
pro : 0, count = 74/1144(0.0646853146853)
pro : 1, count = 181/1144(0.158216783217)
pro : 2, count = 97/1144(0.0847902097902)
pro : 3, count = 62/1144(0.0541958041958)
pro : 4, count = 40/1144(0.034965034965)
pro : 5, count = 79/1144(0.0690559440559)
pro : 6, count = 110/1144(0.0961538461538)
pro : 7, count = 67/1144(0.0585664335664)
pro : 8, count = 65/1144(0.0568181818182)
