filename = ./accuracy_test/Accuracy_Test_8.txt, fileindex = 8
pro : 0, count = 36/644(0.055900621118)
pro : 1, count = 93/644(0.144409937888)
pro : 2, count = 123/644(0.19099378882)
pro : 3, count = 60/644(0.0931677018634)
pro : 4, count = 72/644(0.111801242236)
pro : 5, count = 57/644(0.0885093167702)
pro : 6, count = 24/644(0.0372670807453)
pro : 7, count = 27/644(0.0419254658385)
pro : 8, count = 30/644(0.0465838509317)
pro : 9, count = 30/644(0.0465838509317)
pro : 10, count = 23/644(0.0357142857143)
pro : 11, count = 12/644(0.0186335403727)
pro : 12, count = 12/644(0.0186335403727)
pro : 13, count = 9/644(0.0139751552795)
pro : 14, count = 18/644(0.027950310559)
pro : 15, count = 10/644(0.0155279503106)
pro : 16, count = 7/644(0.0108695652174)
filename = ./accuracy_test/Accuracy_Test_9.txt, fileindex = 9
pro : 0, count = 36/644(0.055900621118)
pro : 1, count = 101/644(0.156832298137)
pro : 2, count = 113/644(0.175465838509)
pro : 3, count = 64/644(0.0993788819876)
pro : 4, count = 64/644(0.0993788819876)
pro : 5, count = 68/644(0.105590062112)
pro : 6, count = 32/644(0.0496894409938)
pro : 7, count = 36/644(0.055900621118)
pro : 8, count = 34/644(0.0527950310559)
pro : 9, count = 26/644(0.0403726708075)
pro : 10, count = 20/644(0.0310559006211)
pro : 11, count = 16/644(0.0248447204969)
pro : 12, count = 5/644(0.00776397515528)
pro : 13, count = 6/644(0.00931677018634)
pro : 14, count = 9/644(0.0139751552795)
pro : 15, count = 9/644(0.0139751552795)
pro : 16, count = 5/644(0.00776397515528)
filename = ./accuracy_test/Accuracy_Test_10.txt, fileindex = 10
pro : 0, count = 36/644(0.055900621118)
pro : 1, count = 108/644(0.167701863354)
pro : 2, count = 97/644(0.150621118012)
pro : 3, count = 79/644(0.122670807453)
pro : 4, count = 61/644(0.0947204968944)
pro : 5, count = 62/644(0.0962732919255)
pro : 6, count = 35/644(0.054347826087)
pro : 7, count = 55/644(0.0854037267081)
pro : 8, count = 26/644(0.0403726708075)
pro : 9, count = 22/644(0.0341614906832)
pro : 10, count = 19/644(0.0295031055901)
pro : 11, count = 15/644(0.0232919254658)
pro : 12, count = 8/644(0.0124223602484)
pro : 13, count = 5/644(0.00776397515528)
pro : 14, count = 10/644(0.0155279503106)
pro : 15, count = 5/644(0.00776397515528)
pro : 16, count = 1/644(0.00155279503106)
filename = ./accuracy_test/Accuracy_Test_4.txt, fileindex = 4
pro : 0, count = 36/644(0.055900621118)
pro : 1, count = 93/644(0.144409937888)
pro : 2, count = 84/644(0.130434782609)
pro : 3, count = 55/644(0.0854037267081)
pro : 4, count = 37/644(0.0574534161491)
pro : 5, count = 50/644(0.0776397515528)
pro : 6, count = 34/644(0.0527950310559)
pro : 7, count = 39/644(0.0605590062112)
pro : 8, count = 41/644(0.0636645962733)
pro : 9, count = 18/644(0.027950310559)
pro : 10, count = 21/644(0.0326086956522)
pro : 11, count = 17/644(0.026397515528)
pro : 12, count = 27/644(0.0419254658385)
pro : 13, count = 28/644(0.0434782608696)
pro : 14, count = 35/644(0.054347826087)
pro : 15, count = 21/644(0.0326086956522)
pro : 16, count = 7/644(0.0108695652174)
filename = ./accuracy_test/Accuracy_Test_0.txt, fileindex = 0
pro : 0, count = 36/644(0.055900621118)
pro : 1, count = 93/644(0.144409937888)
pro : 2, count = 52/644(0.0807453416149)
pro : 3, count = 23/644(0.0357142857143)
pro : 4, count = 38/644(0.0590062111801)
pro : 5, count = 26/644(0.0403726708075)
pro : 6, count = 48/644(0.0745341614907)
pro : 7, count = 49/644(0.0760869565217)
pro : 8, count = 26/644(0.0403726708075)
pro : 9, count = 58/644(0.0900621118012)
pro : 10, count = 32/644(0.0496894409938)
