filename = ./accuracy_test/Accuracy_Test_8.txt, fileindex = 8
pro : 0, count = 24/1144(0.020979020979)
pro : 1, count = 70/1144(0.0611888111888)
pro : 2, count = 73/1144(0.0638111888112)
pro : 3, count = 81/1144(0.0708041958042)
pro : 4, count = 72/1144(0.0629370629371)
pro : 5, count = 58/1144(0.0506993006993)
pro : 6, count = 66/1144(0.0576923076923)
pro : 7, count = 65/1144(0.0568181818182)
pro : 8, count = 78/1144(0.0681818181818)
pro : 9, count = 65/1144(0.0568181818182)
pro : 10, count = 80/1144(0.0699300699301)
pro : 11, count = 70/1144(0.0611888111888)
pro : 12, count = 69/1144(0.0603146853147)
pro : 13, count = 80/1144(0.0699300699301)
pro : 14, count = 60/1144(0.0524475524476)
pro : 15, count = 68/1144(0.0594405594406)
filename = ./accuracy_test/Accuracy_Test_4.txt, fileindex = 4
pro : 0, count = 24/1144(0.020979020979)
pro : 1, count = 74/1144(0.0646853146853)
pro : 2, count = 76/1144(0.0664335664336)
pro : 3, count = 68/1144(0.0594405594406)
pro : 4, count = 53/1144(0.0463286713287)
pro : 5, count = 54/1144(0.0472027972028)
pro : 6, count = 72/1144(0.0629370629371)
pro : 7, count = 78/1144(0.0681818181818)
pro : 8, count = 59/1144(0.0515734265734)
pro : 9, count = 71/1144(0.0620629370629)
pro : 10, count = 70/1144(0.0611888111888)
pro : 11, count = 84/1144(0.0734265734266)
pro : 12, count = 67/1144(0.0585664335664)
pro : 13, count = 71/1144(0.0620629370629)
pro : 14, count = 90/1144(0.0786713286713)
pro : 15, count = 80/1144(0.0699300699301)
filename = ./accuracy_test/Accuracy_Test_0.txt, fileindex = 0
pro : 0, count = 24/1144(0.020979020979)
pro : 1, count = 77/1144(0.0673076923077)
pro : 2, count = 73/1144(0.0638111888112)
pro : 3, count = 66/1144(0.0576923076923)
pro : 4, count = 52/1144(0.0454545454545)
pro : 5, count = 58/1144(0.0506993006993)
pro : 6, count = 68/1144(0.0594405594406)
pro : 7, count = 71/1144(0.0620629370629)
pro : 8, count = 70/1144(0.0611888111888)
pro : 9, count = 73/1144(0.0638111888112)
pro : 10, count = 68/1144(0.0594405594406)
pro : 11, count = 86/1144(0.0751748251748)
pro : 12, count = 77/1144(0.0673076923077)
pro : 13, count = 72/1144(0.0629370629371)
pro : 14, count = 70/1144(0.0611888111888)
pro : 15, count = 86/1144(0.0751748251748)
filename = ./accuracy_test/Accuracy_Test_5.txt, fileindex = 5
pro : 0, count = 24/1144(0.020979020979)
pro : 1, count = 72/1144(0.0629370629371)
pro : 2, count = 81/1144(0.0708041958042)
pro : 3, count = 71/1144(0.0620629370629)
pro : 4, count = 57/1144(0.0498251748252)
pro : 5, count = 52/1144(0.0454545454545)
pro : 6, count = 65/1144(0.0568181818182)
pro : 7, count = 72/1144(0.0629370629371)
pro : 8, count = 69/1144(0.0603146853147)
pro : 9, count = 62/1144(0.0541958041958)
pro : 10, count = 78/1144(0.0681818181818)
pro : 11, count = 85/1144(0.0743006993007)
pro : 12, count = 72/1144(0.0629370629371)
pro : 13, count = 64/1144(0.0559440559441)
pro : 14, count = 89/1144(0.0777972027972)
pro : 15, count = 80/1144(0.0699300699301)
filename = ./accuracy_test/Accuracy_Test_10.txt, fileindex = 10
pro : 0, count = 24/1144(0.020979020979)
pro : 1, count = 74/1144(0.0646853146853)
pro : 2, count = 74/1144(0.0646853146853)
pro : 3, count = 79/1144(0.0690559440559)
pro : 4, count = 81/1144(0.0708041958042)
pro : 5, count = 70/1144(0.0611888111888)
pro : 6, count = 78/1144(0.0681818181818)
pro : 7, count = 71/1144(0.0620629370629)
pro : 8, count = 66/1144(0.0576923076923)
pro : 9, count = 60/1144(0.0524475524476)
pro : 10, count = 62/1144(0.0541958041958)
pro : 11, count = 95/1144(0.083041958042)
pro : 12, count = 68/1144(0.0594405594406)
pro : 13, count = 77/1144(0.0673076923077)
pro : 14, count = 54/1144(0.0472027972028)
pro : 15, count = 55/1144(0.0480769230769)
filename = ./accuracy_test/Accuracy_Test_2.txt, fileindex = 2
pro : 0, count = 24/1144(0.020979020979)
pro : 1, count = 77/1144(0.0673076923077)
pro : 2, count = 75/1144(0.0655594405594)
pro : 3, count = 66/1144(0.0576923076923)
pro : 4, count = 51/1144(0.0445804195804)
pro : 5, count = 59/1144(0.0515734265734)
pro : 6, count = 66/1144(0.0576923076923)
pro : 7, count = 73/1144(0.0638111888112)
pro : 8, count = 68/1144(0.0594405594406)
pro : 9, count = 73/1144(0.0638111888112)
pro : 10, count = 69/1144(0.0603146853147)
pro : 11, count = 88/1144(0.0769230769231)
pro : 12, count = 75/1144(0.0655594405594)
pro : 13, count = 68/1144(0.0594405594406)
pro : 14, count = 80/1144(0.0699300699301)
pro : 15, count = 79/1144(0.0690559440559)
filename = ./accuracy_test/Accuracy_Test_9.txt, fileindex = 9
pro : 0, count = 24/1144(0.020979020979)
pro : 1, count = 67/1144(0.0585664335664)
pro : 2, count = 82/1144(0.0716783216783)
pro : 3, count = 68/1144(0.0594405594406)
pro : 4, count = 83/1144(0.0725524475524)
pro : 5, count = 76/1144(0.0664335664336)
pro : 6, count = 53/1144(0.0463286713287)
pro : 7, count = 65/1144(0.0568181818182)
pro : 8, count = 80/1144(0.0699300699301)
pro : 9, count = 72/1144(0.0629370629371)
pro : 10, count = 70/1144(0.0611888111888)
pro : 11, count = 74/1144(0.0646853146853)
pro : 12, count = 67/1144(0.0585664335664)
pro : 13, count = 73/1144(0.0638111888112)
pro : 14, count = 63/1144(0.0550699300699)
pro : 15, count = 63/1144(0.0550699300699)
filename = ./accuracy_test/Accuracy_Test_1.txt, fileindex = 1
pro : 0, count = 24/1144(0.020979020979)
pro : 1, count = 77/1144(0.0673076923077)
pro : 2, count = 74/1144(0.0646853146853)
pro : 3, count = 66/1144(0.0576923076923)
pro : 4, count = 52/1144(0.0454545454545)
pro : 5, count = 58/1144(0.0506993006993)
pro : 6, count = 67/1144(0.0585664335664)
pro : 7, count = 71/1144(0.0620629370629)
pro : 8, count = 68/1144(0.0594405594406)
pro : 9, count = 80/1144(0.0699300699301)
pro : 10, count = 63/1144(0.0550699300699)
pro : 11, count = 86/1144(0.0751748251748)
pro : 12, count = 77/1144(0.0673076923077)
pro : 13, count = 73/1144(0.0638111888112)
pro : 14, count = 73/1144(0.0638111888112)
pro : 15, count = 81/1144(0.0708041958042)
filename = ./accuracy_test/Accuracy_Test_7.txt, fileindex = 7
pro : 0, count = 24/1144(0.020979020979)
pro : 1, count = 75/1144(0.0655594405594)
pro : 2, count = 79/1144(0.0690559440559)
pro : 3, count = 68/1144(0.0594405594406)
pro : 4, count = 68/1144(0.0594405594406)
pro : 5, count = 51/1144(0.0445804195804)
pro : 6, count = 80/1144(0.0699300699301)
pro : 7, count = 59/1144(0.0515734265734)
pro : 8, count = 59/1144(0.0515734265734)
pro : 9, count = 73/1144(0.0638111888112)
pro : 10, count = 76/1144(0.0664335664336)
pro : 11, count = 73/1144(0.0638111888112)
pro : 12, count = 81/1144(0.0708041958042)
pro : 13, count = 79/1144(0.0690559440559)
pro : 14, count = 71/1144(0.0620629370629)
pro : 15, count = 73/1144(0.0638111888112)
filename = ./accuracy_test/Accuracy_Test_6.txt, fileindex = 6
pro : 0, count = 24/1144(0.020979020979)
pro : 1, count = 70/1144(0.0611888111888)
pro : 2, count = 86/1144(0.0751748251748)
pro : 3, count = 66/1144(0.0576923076923)
pro : 4, count = 60/1144(0.0524475524476)
pro : 5, count = 65/1144(0.0568181818182)
pro : 6, count = 59/1144(0.0515734265734)
pro : 7, count = 65/1144(0.0568181818182)
pro : 8, count = 66/1144(0.0576923076923)
pro : 9, count = 69/1144(0.0603146853147)
pro : 10, count = 75/1144(0.0655594405594)
pro : 11, count = 79/1144(0.0690559440559)
pro : 12, count = 71/1144(0.0620629370629)
pro : 13, count = 75/1144(0.0655594405594)
pro : 14, count = 80/1144(0.0699300699301)
pro : 15, count = 77/1144(0.0673076923077)
