filename = ./accuracy_test/Accuracy_Test_8.txt, fileindex = 8
pro : 0, count = 199/1644(0.12104622871)
pro : 1, count = 269/1644(0.163625304136)
pro : 2, count = 246/1644(0.149635036496)
pro : 3, count = 204/1644(0.124087591241)
pro : 4, count = 163/1644(0.0991484184915)
pro : 5, count = 126/1644(0.0766423357664)
pro : 6, count = 84/1644(0.0510948905109)
pro : 7, count = 67/1644(0.0407542579075)
pro : 8, count = 73/1644(0.044403892944)
pro : 9, count = 49/1644(0.0298053527981)
pro : 10, count = 54/1644(0.0328467153285)
pro : 11, count = 44/1644(0.0267639902676)
pro : 12, count = 22/1644(0.0133819951338)
pro : 13, count = 32/1644(0.0194647201946)
pro : 14, count = 7/1644(0.00425790754258)
pro : 15, count = 4/1644(0.00243309002433)
pro : 16, count = 1/1644(0.000608272506083)
filename = ./accuracy_test/Accuracy_Test_9.txt, fileindex = 9
pro : 0, count = 199/1644(0.12104622871)
pro : 1, count = 265/1644(0.161192214112)
pro : 2, count = 250/1644(0.152068126521)
pro : 3, count = 214/1644(0.130170316302)
pro : 4, count = 156/1644(0.0948905109489)
pro : 5, count = 134/1644(0.0815085158151)
pro : 6, count = 103/1644(0.0626520681265)
pro : 7, count = 82/1644(0.0498783454988)
pro : 8, count = 54/1644(0.0328467153285)
pro : 9, count = 62/1644(0.0377128953771)
pro : 10, count = 36/1644(0.021897810219)
pro : 11, count = 27/1644(0.0164233576642)
pro : 12, count = 23/1644(0.0139902676399)
pro : 13, count = 25/1644(0.0152068126521)
pro : 14, count = 8/1644(0.00486618004866)
pro : 15, count = 5/1644(0.00304136253041)
pro : 16, count = 1/1644(0.000608272506083)
filename = ./accuracy_test/Accuracy_Test_10.txt, fileindex = 10
pro : 0, count = 199/1644(0.12104622871)
pro : 1, count = 269/1644(0.163625304136)
pro : 2, count = 242/1644(0.147201946472)
pro : 3, count = 213/1644(0.129562043796)
pro : 4, count = 152/1644(0.0924574209246)
pro : 5, count = 133/1644(0.080900243309)
pro : 6, count = 105/1644(0.0638686131387)
pro : 7, count = 99/1644(0.0602189781022)
pro : 8, count = 62/1644(0.0377128953771)
pro : 9, count = 49/1644(0.0298053527981)
pro : 10, count = 41/1644(0.0249391727494)
pro : 11, count = 37/1644(0.0225060827251)
pro : 12, count = 17/1644(0.0103406326034)
pro : 13, count = 18/1644(0.0109489051095)
pro : 14, count = 4/1644(0.00243309002433)
pro : 15, count = 3/1644(0.00182481751825)
pro : 16, count = 1/1644(0.000608272506083)
filename = ./accuracy_test/Accuracy_Test_4.txt, fileindex = 4
pro : 0, count = 199/1644(0.12104622871)
pro : 1, count = 247/1644(0.150243309002)
pro : 2, count = 203/1644(0.123479318735)
pro : 3, count = 168/1644(0.102189781022)
pro : 4, count = 96/1644(0.0583941605839)
pro : 5, count = 126/1644(0.0766423357664)
pro : 6, count = 115/1644(0.0699513381995)
pro : 7, count = 106/1644(0.0644768856448)
pro : 8, count = 86/1644(0.0523114355231)
pro : 9, count = 75/1644(0.0456204379562)
pro : 10, count = 66/1644(0.0401459854015)
pro : 11, count = 54/1644(0.0328467153285)
pro : 12, count = 40/1644(0.0243309002433)
pro : 13, count = 41/1644(0.0249391727494)
pro : 14, count = 14/1644(0.00851581508516)
pro : 15, count = 7/1644(0.00425790754258)
pro : 16, count = 1/1644(0.000608272506083)
filename = ./accuracy_test/Accuracy_Test_0.txt, fileindex = 0
pro : 0, count = 199/1644(0.12104622871)
pro : 1, count = 253/1644(0.153892944039)
pro : 2, count = 149/1644(0.0906326034063)
pro : 3, count = 94/1644(0.0571776155718)
pro : 4, count = 80/1644(0.0486618004866)
pro : 5, count = 148/1644(0.0900243309002)
pro : 6, count = 128/1644(0.0778588807786)
pro : 7, count = 113/1644(0.0687347931873)
pro : 8, count = 133/1644(0.080900243309)
pro : 9, count = 112/1644(0.0681265206813)
pro : 10, count = 65/1644(0.0395377128954)
pro : 11, count = 58/1644(0.0352798053528)
pro : 12, count = 44/1644(0.0267639902676)
pro : 13, count = 42/1644(0.0255474452555)
pro : 14, count = 16/1644(0.00973236009732)
pro : 15, count = 9/1644(0.00547445255474)
pro : 16, count = 1/1644(0.000608272506083)
filename = ./accuracy_test/Accuracy_Test_5.txt, fileindex = 5
pro : 0, count = 199/1644(0.12104622871)
pro : 1, count = 244/1644(0.148418491484)
pro : 2, count = 225/1644(0.136861313869)
pro : 3, count = 188/1644(0.114355231144)
pro : 4, count = 116/1644(0.0705596107056)
pro : 5, count = 119/1644(0.0723844282238)
pro : 6, count = 94/1644(0.0571776155718)
pro : 7, count = 102/1644(0.0620437956204)
pro : 8, count = 74/1644(0.0450121654501)
pro : 9, count = 67/1644(0.0407542579075)
pro : 10, count = 63/1644(0.0383211678832)
pro : 11, count = 50/1644(0.0304136253041)
pro : 12, count = 43/1644(0.0261557177616)
pro : 13, count = 39/1644(0.0237226277372)
pro : 14, count = 13/1644(0.00790754257908)
pro : 15, count = 7/1644(0.00425790754258)
pro : 16, count = 1/1644(0.000608272506083)
filename = ./accuracy_test/Accuracy_Test_2.txt, fileindex = 2
pro : 0, count = 199/1644(0.12104622871)
pro : 1, count = 243/1644(0.147810218978)
pro : 2, count = 179/1644(0.108880778589)
pro : 3, count = 118/1644(0.0717761557178)
pro : 4, count = 81/1644(0.0492700729927)
pro : 5, count = 130/1644(0.0790754257908)
pro : 6, count = 138/1644(0.0839416058394)
pro : 7, count = 109/1644(0.066301703163)
pro : 8, count = 117/1644(0.0711678832117)
pro : 9, count = 100/1644(0.0608272506083)
pro : 10, count = 65/1644(0.0395377128954)
pro : 11, count = 55/1644(0.0334549878345)
pro : 12, count = 44/1644(0.0267639902676)
pro : 13, count = 42/1644(0.0255474452555)
pro : 14, count = 16/1644(0.00973236009732)
pro : 15, count = 7/1644(0.00425790754258)
pro : 16, count = 1/1644(0.000608272506083)
filename = ./accuracy_test/Accuracy_Test_1.txt, fileindex = 1
pro : 0, count = 199/1644(0.12104622871)
pro : 1, count = 249/1644(0.151459854015)
pro : 2, count = 162/1644(0.0985401459854)
pro : 3, count = 105/1644(0.0638686131387)
pro : 4, count = 73/1644(0.044403892944)
