filename = ./accuracy_test/Accuracy_Test_8.txt, fileindex = 8
pro : 0, count = 246/1644(0.149635036496)
pro : 1, count = 111/1644(0.0675182481752)
pro : 2, count = 119/1644(0.0723844282238)
pro : 3, count = 98/1644(0.0596107055961)
pro : 4, count = 110/1644(0.0669099756691)
pro : 5, count = 99/1644(0.0602189781022)
pro : 6, count = 89/1644(0.0541362530414)
pro : 7, count = 113/1644(0.0687347931873)
pro : 8, count = 89/1644(0.0541362530414)
pro : 9, count = 115/1644(0.0699513381995)
pro : 10, count = 96/1644(0.0583941605839)
pro : 11, count = 91/1644(0.0553527980535)
pro : 12, count = 82/1644(0.0498783454988)
pro : 13, count = 76/1644(0.0462287104623)
pro : 14, count = 69/1644(0.0419708029197)
pro : 15, count = 34/1644(0.0206812652068)
filename = ./accuracy_test/Accuracy_Test_4.txt, fileindex = 4
pro : 0, count = 246/1644(0.149635036496)
pro : 1, count = 103/1644(0.0626520681265)
pro : 2, count = 109/1644(0.066301703163)
pro : 3, count = 100/1644(0.0608272506083)
pro : 4, count = 87/1644(0.0529197080292)
pro : 5, count = 91/1644(0.0553527980535)
pro : 6, count = 117/1644(0.0711678832117)
pro : 7, count = 107/1644(0.0650851581509)
pro : 8, count = 90/1644(0.0547445255474)
pro : 9, count = 109/1644(0.066301703163)
pro : 10, count = 102/1644(0.0620437956204)
pro : 11, count = 94/1644(0.0571776155718)
pro : 12, count = 91/1644(0.0553527980535)
pro : 13, count = 95/1644(0.0577858880779)
pro : 14, count = 63/1644(0.0383211678832)
pro : 15, count = 33/1644(0.0200729927007)
filename = ./accuracy_test/Accuracy_Test_0.txt, fileindex = 0
pro : 0, count = 246/1644(0.149635036496)
pro : 1, count = 104/1644(0.0632603406326)
pro : 2, count = 118/1644(0.0717761557178)
pro : 3, count = 86/1644(0.0523114355231)
pro : 4, count = 92/1644(0.0559610705596)
pro : 5, count = 95/1644(0.0577858880779)
pro : 6, count = 111/1644(0.0675182481752)
pro : 7, count = 117/1644(0.0711678832117)
pro : 8, count = 91/1644(0.0553527980535)
pro : 9, count = 103/1644(0.0626520681265)
pro : 10, count = 81/1644(0.0492700729927)
pro : 11, count = 104/1644(0.0632603406326)
pro : 12, count = 99/1644(0.0602189781022)
pro : 13, count = 94/1644(0.0571776155718)
pro : 14, count = 64/1644(0.0389294403893)
pro : 15, count = 33/1644(0.0200729927007)
filename = ./accuracy_test/Accuracy_Test_5.txt, fileindex = 5
pro : 0, count = 246/1644(0.149635036496)
pro : 1, count = 105/1644(0.0638686131387)
pro : 2, count = 107/1644(0.0650851581509)
pro : 3, count = 105/1644(0.0638686131387)
pro : 4, count = 100/1644(0.0608272506083)
pro : 5, count = 87/1644(0.0529197080292)
pro : 6, count = 106/1644(0.0644768856448)
pro : 7, count = 120/1644(0.0729927007299)
pro : 8, count = 89/1644(0.0541362530414)
pro : 9, count = 107/1644(0.0650851581509)
pro : 10, count = 103/1644(0.0626520681265)
pro : 11, count = 81/1644(0.0492700729927)
pro : 12, count = 94/1644(0.0571776155718)
pro : 13, count = 97/1644(0.05900243309)
pro : 14, count = 57/1644(0.0346715328467)
pro : 15, count = 33/1644(0.0200729927007)
filename = ./accuracy_test/Accuracy_Test_10.txt, fileindex = 10
pro : 0, count = 246/1644(0.149635036496)
pro : 1, count = 108/1644(0.0656934306569)
pro : 2, count = 106/1644(0.0644768856448)
pro : 3, count = 103/1644(0.0626520681265)
pro : 4, count = 106/1644(0.0644768856448)
pro : 5, count = 109/1644(0.066301703163)
pro : 6, count = 94/1644(0.0571776155718)
pro : 7, count = 88/1644(0.0535279805353)
pro : 8, count = 117/1644(0.0711678832117)
pro : 9, count = 92/1644(0.0559610705596)
pro : 10, count = 100/1644(0.0608272506083)
pro : 11, count = 108/1644(0.0656934306569)
pro : 12, count = 99/1644(0.0602189781022)
pro : 13, count = 82/1644(0.0498783454988)
pro : 14, count = 48/1644(0.029197080292)
pro : 15, count = 33/1644(0.0200729927007)
filename = ./accuracy_test/Accuracy_Test_2.txt, fileindex = 2
pro : 0, count = 246/1644(0.149635036496)
pro : 1, count = 101/1644(0.0614355231144)
pro : 2, count = 120/1644(0.0729927007299)
pro : 3, count = 86/1644(0.0523114355231)
pro : 4, count = 93/1644(0.0565693430657)
pro : 5, count = 99/1644(0.0602189781022)
pro : 6, count = 105/1644(0.0638686131387)
pro : 7, count = 114/1644(0.0693430656934)
pro : 8, count = 95/1644(0.0577858880779)
pro : 9, count = 105/1644(0.0638686131387)
pro : 10, count = 81/1644(0.0492700729927)
pro : 11, count = 104/1644(0.0632603406326)
pro : 12, count = 97/1644(0.05900243309)
pro : 13, count = 94/1644(0.0571776155718)
pro : 14, count = 64/1644(0.0389294403893)
pro : 15, count = 35/1644(0.0212895377129)
filename = ./accuracy_test/Accuracy_Test_9.txt, fileindex = 9
pro : 0, count = 246/1644(0.149635036496)
pro : 1, count = 107/1644(0.0650851581509)
pro : 2, count = 120/1644(0.0729927007299)
pro : 3, count = 104/1644(0.0632603406326)
