filename = ./accuracy_test/Accuracy_Test_8.txt, fileindex = 8
pro : 4, count = 38/644(0.0590062111801)
pro : 5, count = 39/644(0.0605590062112)
pro : 6, count = 44/644(0.0683229813665)
pro : 7, count = 39/644(0.0605590062112)
pro : 8, count = 39/644(0.0605590062112)
pro : 9, count = 46/644(0.0714285714286)
pro : 10, count = 38/644(0.0590062111801)
pro : 11, count = 36/644(0.055900621118)
pro : 12, count = 58/644(0.0900621118012)
pro : 13, count = 40/644(0.0621118012422)
pro : 14, count = 37/644(0.0574534161491)
pro : 15, count = 40/644(0.0621118012422)
filename = ./accuracy_test/Accuracy_Test_6.txt, fileindex = 6
pro : 0, count = 1/644(0.00155279503106)
pro : 1, count = 38/644(0.0590062111801)
pro : 2, count = 33/644(0.0512422360248)
pro : 3, count = 32/644(0.0496894409938)
pro : 4, count = 36/644(0.055900621118)
pro : 5, count = 42/644(0.0652173913043)
pro : 6, count = 39/644(0.0605590062112)
pro : 7, count = 34/644(0.0527950310559)
pro : 8, count = 42/644(0.0652173913043)
pro : 9, count = 43/644(0.0667701863354)
pro : 10, count = 44/644(0.0683229813665)
pro : 11, count = 40/644(0.0621118012422)
pro : 12, count = 42/644(0.0652173913043)
pro : 13, count = 47/644(0.0729813664596)
pro : 14, count = 42/644(0.0652173913043)
pro : 15, count = 37/644(0.0574534161491)
filename = ./accuracy_test/Accuracy_Test_3.txt, fileindex = 3
pro : 0, count = 1/644(0.00155279503106)
pro : 1, count = 39/644(0.0605590062112)
pro : 2, count = 34/644(0.0527950310559)
pro : 3, count = 41/644(0.0636645962733)
pro : 4, count = 37/644(0.0574534161491)
pro : 5, count = 38/644(0.0590062111801)
pro : 6, count = 31/644(0.0481366459627)
pro : 7, count = 43/644(0.0667701863354)
pro : 8, count = 36/644(0.055900621118)
pro : 9, count = 36/644(0.055900621118)
pro : 10, count = 46/644(0.0714285714286)
pro : 11, count = 45/644(0.0698757763975)
pro : 12, count = 40/644(0.0621118012422)
pro : 13, count = 38/644(0.0590062111801)
pro : 14, count = 45/644(0.0698757763975)
pro : 15, count = 43/644(0.0667701863354)
